ItemID,SalesDate,CostPrice, QtySales 
SKU_1331_111,1/1/2017,56.12, 73.00 
SKU_1331_111,2/1/2017,56.12, 11.00 
SKU_1331_111,3/1/2017,56.12, 72.00 
SKU_1331_111,4/1/2017,56.12, 96.00 
SKU_1331_111,5/1/2017,56.12, 27.00 
SKU_1331_111,6/1/2017,56.12, 141.50 
SKU_1331_111,7/1/2017,56.12, 92.50 
SKU_1331_111,8/1/2017,56.12, 291.00 
SKU_1331_111,9/1/2017,56.12, 114.00 
SKU_1331_111,10/1/2017,56.12, 229.00 
SKU_1331_111,11/1/2017,56.12, 192.00 
SKU_1331_111,12/1/2017,56.12, 151.00 
SKU_1331_111,1/1/2018,56.12, 70.50 
SKU_1331_111,2/1/2018,56.12, 197.00 
SKU_1331_111,3/1/2018,56.12, 6.13 
SKU_1331_111,4/1/2018,56.12, 76.00 
SKU_1331_111,5/1/2018,56.12, 90.00 
SKU_1331_111,6/1/2018,56.12, 103.00 
SKU_1331_111,7/1/2018,56.12, 178.50 
SKU_1331_111,8/1/2018,56.12, 338.87 
SKU_1331_111,9/1/2018,56.12, 164.00 
SKU_1331_111,10/1/2018,56.12, 124.70 
SKU_1331_111,11/1/2018,56.12, 385.10 
SKU_1331_111,12/1/2018,56.12, 154.00 
SKU_1331_111,1/1/2019,56.12, 200.00 
SKU_1331_111,2/1/2019,56.12, 259.00 
SKU_1331_111,3/1/2019,56.12, 156.00 
SKU_1331_111,4/1/2019,56.12, 241.70 
SKU_1331_111,5/1/2019,56.12, 181.50 
SKU_1331_111,6/1/2019,56.12, 66.50 
SKU_1331_111,7/1/2019,56.12, 169.80 
SKU_1331_111,8/1/2019,56.12, 462.40 
SKU_1331_111,9/1/2019,56.12, 228.00 
SKU_1331_111,10/1/2019,56.12, 293.60 
SKU_1331_111,11/1/2019,56.12, 242.00 
SKU_1331_111,12/1/2019,56.12, 257.00 
SKU_1331_111,1/1/2020,56.12, 115.00 
SKU_1331_111,2/1/2020,56.12, 327.50 
SKU_1331_111,3/1/2020,56.12, 262.50 
SKU_1331_111,4/1/2020,56.12, 47.00 
SKU_1331_111,5/1/2020,56.12, 211.40 
SKU_1331_111,6/1/2020,56.12, 283.50 
SKU_1331_111,7/1/2020,56.12, 320.00 
SKU_1331_111,8/1/2020,56.12, 240.00 
SKU_1331_111,9/1/2020,56.12, 326.00 
SKU_1331_111,10/1/2020,56.12, 316.00 
SKU_1331_111,11/1/2020,56.12, 231.50 
SKU_1331_111,12/1/2020,56.12, 327.50 
SKU_1331_111,1/1/2021,56.12, 173.00 
SKU_1331_111,2/1/2021,56.12, 274.00 
SKU_1331_111,3/1/2021,56.12, 152.00 
SKU_1331_111,4/1/2021,56.12, 220.00 
SKU_1331_111,5/1/2021,56.12, 141.70 
SKU_1331_111,6/1/2021,56.12, 131.00 
SKU_1331_111,7/1/2021,56.12, 163.00 
SKU_1331_111,8/1/2021,56.12, 126.00 
SKU_1331_111,9/1/2021,56.12, 140.50 
SKU_1331_111,10/1/2021,56.12, 318.35 
SKU_1331_111,11/1/2021,56.12, 254.00 
SKU_1331_111,12/1/2021,56.12, 239.80 
SKU_1331_111,1/1/2022,56.12, 55.00 
SKU_1331_111,2/1/2022,56.12, 528.00 
SKU_1331_111,3/1/2022,56.12, 360.80 
SKU_1331_111,4/1/2022,56.12, 270.50 
SKU_1331_111,5/1/2022,56.12, 133.70 
SKU_1331_111,6/1/2022,56.12, 151.00 
SKU_1331_111,7/1/2022,56.12, 155.18 
SKU_1331_111,8/1/2022,56.12, 133.00 
SKU_1331_111,9/1/2022,56.12, 510.32 
SKU_1331_111,10/1/2022,56.12, 159.31 
SKU_1331_111,11/1/2022,56.12, 259.69 
SKU_1331_111,12/1/2022,56.12, 204.72 
SKU_1331_111,1/1/2023,56.12, 165.00 
SKU_1331_111,2/1/2023,56.12, 330.00 
SKU_1331_111,3/1/2023,56.12, 59.00 
SKU_1331_111,4/1/2023,56.12, 79.00 
SKU_1331_111,5/1/2023,56.12, 50.00 
SKU_1331_111,6/1/2023,56.12, 70.00 
SKU_1331_111,7/1/2023,56.12, 130.00 
SKU_1331_111,8/1/2023,56.12, 54.50 
SKU_1331_111,9/1/2023,56.12, 50.00 
SKU_1331_111,10/1/2023,56.12, 90.50 
SKU_1331_111,11/1/2023,56.12, 121.40 
SKU_1331_111,12/1/2023,56.12, 66.00 
SKU_1331_111,1/1/2024,56.12, 35.00 
SKU_1331_111,2/1/2024,56.12, 92.40 
SKU_1331_111,3/1/2024,56.12, 95.00 
SKU_1331_111,4/1/2024,56.12, 43.00 
SKU_1331_111,5/1/2024,56.12, 169.00 
SKU_1331_111,6/1/2024,56.12, 67.00 
SKU_1331_111,7/1/2024,56.12, 49.00 
SKU_1331_111,8/1/2024,56.12, 157.00 
SKU_1331_111,9/1/2024,56.12, 110.00 
SKU_1331_111,10/1/2024,56.12, 74.10 
SKU_4289_111,1/1/2017,106.68, 13.00 
SKU_4289_111,2/1/2017,106.68, 5.00 
SKU_4289_111,3/1/2017,106.68, 65.00 
SKU_4289_111,4/1/2017,106.68, 42.50 
SKU_4289_111,5/1/2017,106.68, 20.00 
SKU_4289_111,6/1/2017,106.68, 10.00 
SKU_4289_111,7/1/2017,106.68, 90.00 
SKU_4289_111,8/1/2017,106.68, 57.50 
SKU_4289_111,9/1/2017,106.68, 25.00 
SKU_4289_111,10/1/2017,106.68, 21.00 
SKU_4289_111,11/1/2017,106.68, 104.00 
SKU_4289_111,12/1/2017,106.68, 45.00 
SKU_4289_111,1/1/2018,106.68, 22.85 
SKU_4289_111,2/1/2018,106.68, 0.70 
SKU_4289_111,3/1/2018,106.68, 50.00 
SKU_4289_111,4/1/2018,106.68, 45.00 
SKU_4289_111,5/1/2018,106.68, 40.00 
SKU_4289_111,6/1/2018,106.68, 35.00 
SKU_4289_111,7/1/2018,106.68, 30.00 
SKU_4289_111,8/1/2018,106.68, 10.00 
SKU_4289_111,9/1/2018,106.68, 10.00 
SKU_4289_111,10/1/2018,106.68, 85.00 
SKU_4289_111,11/1/2018,106.68, 14.00 
SKU_4289_111,12/1/2018,106.68, 57.30 
SKU_4289_111,1/1/2019,106.68, 41.15 
SKU_4289_111,2/1/2019,106.68, 25.00 
SKU_4289_111,3/1/2019,106.68, 15.00 
SKU_4289_111,4/1/2019,106.68, 135.00 
SKU_4289_111,5/1/2019,106.68, 30.00 
SKU_4289_111,6/1/2019,106.68, 21.00 
SKU_4289_111,7/1/2019,106.68, 12.00 
SKU_4289_111,8/1/2019,106.68, 6.00 
SKU_4289_111,9/1/2019,106.68, 205.00 
SKU_4289_111,10/1/2019,106.68, 80.00 
SKU_4289_111,11/1/2019,106.68, 1.00 
SKU_4289_111,12/1/2019,106.68, 10.80 
SKU_4289_111,1/1/2020,106.68, 23.40 
SKU_4289_111,2/1/2020,106.68, 36.00 
SKU_4289_111,3/1/2020,106.68, 10.00 
SKU_4289_111,4/1/2020,106.68, 10.00 
SKU_4289_111,5/1/2020,106.68, 5.00 
SKU_4289_111,6/1/2020,106.68, 80.00 
SKU_4289_111,7/1/2020,106.68, 45.00 
SKU_4289_111,8/1/2020,106.68, 30.00 
SKU_4289_111,9/1/2020,106.68, 15.00 
SKU_4289_111,10/1/2020,106.68, 130.00 
SKU_4289_111,11/1/2020,106.68, 245.00 
SKU_4289_111,12/1/2020,106.68, 5.00 
SKU_4289_111,1/1/2021,106.68, 50.00 
SKU_4289_111,2/1/2021,106.68, 204.00 
SKU_4289_111,3/1/2021,106.68, 65.00 
SKU_4289_111,4/1/2021,106.68, 25.00 
SKU_4289_111,5/1/2021,106.68, 2.00 
SKU_4289_111,6/1/2021,106.68, 5.50 
SKU_4289_111,7/1/2021,106.68, 9.00 
SKU_4289_111,8/1/2021,106.68, 3.00 
SKU_4289_111,9/1/2021,106.68, 36.00 
SKU_4289_111,10/1/2021,106.68, 32.33 
SKU_4289_111,11/1/2021,106.68, 28.67 
SKU_4289_111,12/1/2021,106.68, 25.00 
SKU_4289_111,1/1/2022,106.68, 1.00 
SKU_4289_111,2/1/2022,106.68, 8.00 
SKU_4289_111,3/1/2022,106.68, 15.00 
SKU_4289_111,4/1/2022,106.68, 36.00 
SKU_4289_111,5/1/2022,106.68, 57.00 
SKU_4289_111,6/1/2022,106.68, 49.43 
SKU_4289_111,7/1/2022,106.68, 41.86 
SKU_4289_111,8/1/2022,106.68, 34.29 
SKU_4289_111,9/1/2022,106.68, 26.71 
SKU_4289_111,10/1/2022,106.68, 19.14 
SKU_4289_111,11/1/2022,106.68, 11.57 
SKU_4289_111,12/1/2022,106.68, 4.00 
SKU_4289_111,1/1/2023,106.68, 10.00 
SKU_4289_111,2/1/2023,106.68, 10.00 
SKU_4289_111,3/1/2023,106.68, 40.33 
SKU_4289_111,4/1/2023,106.68, 70.67 
SKU_4289_111,5/1/2023,106.68, 101.00 
SKU_4289_111,6/1/2023,106.68, 30.00 
SKU_4289_111,7/1/2023,106.68, 20.00 
SKU_4289_111,8/1/2023,106.68, 17.67 
